fileIndex, machine, material, volume (cc),  NBuilds, NperBuild, scanningBuildRate (cc/hr),  totalScanLength_cm, total cost,costPerCC,N
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,330.17624,11.34667473,2.188
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,329.74854,11.33197643,2.197
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,329.32432,11.31739807,2.206
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,328.90356,11.30293817,2.215
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,328.48619,11.28859531,2.224
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,328.0722,11.27436807,2.233
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,327.66152,11.26025504,2.242
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,327.25413,11.24625488,2.251
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,326.84999,11.23236621,2.26
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,326.44905,11.21858773,2.269
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,326.05128,11.20491812,2.278
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,325.65664,11.1913561,2.287
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,325.26509,11.1779004,2.296
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,324.8766,11.16454977,2.305
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,324.49113,11.151303,2.314
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,324.10865,11.13815887,2.323
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,323.72912,11.1251162,2.332
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,323.35251,11.11217381,2.341
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,322.97879,11.09933056,2.35
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,322.60792,11.0865853,2.359
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,322.23986,11.07393693,2.368
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,321.87459,11.06138434,2.377
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,321.51208,11.04892644,2.386
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,321.1523,11.03656217,2.395
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,320.7952,11.02429048,2.404
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,320.44077,11.01211033,2.413
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,320.08898,11.00002071,2.422
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,319.73979,10.9880206,2.431
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,319.39317,10.97610901,2.44
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,319.04911,10.96428498,2.449
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,318.70756,10.95254753,2.458
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,318.3685,10.94089572,2.467
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,318.03191,10.92932862,2.476
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,317.69776,10.9178453,2.485
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,317.36602,10.90644486,2.494
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,317.03666,10.89512641,2.503
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,316.70967,10.88388906,2.512
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,316.38501,10.87273195,2.521
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,316.06266,10.86165421,2.53
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,315.74259,10.85065501,2.539
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,315.42479,10.83973352,2.548
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,315.10922,10.8288889,2.557
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,314.79587,10.81812035,2.566
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,314.48471,10.80742709,2.575
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,314.17571,10.79680831,2.584
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,313.86886,10.78626324,2.593
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,313.56413,10.77579112,2.602
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,313.26151,10.7653912,2.611
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,312.96096,10.75506272,2.62
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,312.66247,10.74480496,2.629
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,312.36602,10.7346172,2.638
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,312.07158,10.72449871,2.647
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,311.77914,10.7144488,2.656
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,311.48867,10.70446676,2.665
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,311.20016,10.69455192,2.674
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,310.91358,10.6847036,2.683
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,310.62892,10.67492113,2.692
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,310.34616,10.66520385,2.701
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,310.06528,10.65555111,2.71
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,309.78625,10.64596227,2.719
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,309.50907,10.63643671,2.728
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,309.23371,10.62697379,2.737
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,308.96015,10.6175729,2.746
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,308.68838,10.60823343,2.755
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,308.41838,10.59895478,2.764
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,308.15014,10.58973636,2.773
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,307.88363,10.58057759,2.782
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,307.61883,10.57147788,2.791
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,307.35574,10.56243667,2.8
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,307.09434,10.5534534,2.809
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,306.83461,10.54452751,2.818
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,306.57653,10.53565845,2.827
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,306.32008,10.52684568,2.836
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,306.06526,10.51808867,2.845
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,305.81205,10.50938689,2.854
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,305.56043,10.50073982,2.863
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,305.31039,10.49214694,2.872
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,305.06191,10.48360775,2.881
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,304.81497,10.47512175,2.89
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,304.56957,10.46668843,2.899
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,304.32569,10.45830732,2.908
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,304.08331,10.44997792,2.917
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,303.84243,10.44169977,2.926
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,303.60302,10.43347238,2.935
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,303.36508,10.4252953,2.944
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,303.12858,10.41716806,2.953
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,302.89352,10.40909021,2.962
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,302.65989,10.4010613,2.971
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,302.42767,10.39308088,2.98
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,302.19685,10.38514853,2.989
1,m290,12709,29.09894317,1,2,4.33345,988697.6687,301.96741,10.3772638,2.998
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,301.73935,10.36942627,3.007
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,301.51264,10.36163551,3.016
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,301.28729,10.35389111,3.025
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,301.06327,10.34619266,3.034
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,300.84058,10.33853975,3.043
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,300.6192,10.33093197,3.052
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,300.39913,10.32336893,3.061
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,300.18034,10.31585023,3.07
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,299.96283,10.30837548,3.079
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,299.74659,10.30094431,3.088
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,299.53161,10.29355633,3.097
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,299.31787,10.28621116,3.106
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,299.10537,10.27890844,3.115
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,298.8941,10.27164779,3.124
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,298.68403,10.26442886,3.133
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,298.47517,10.25725129,3.142
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,298.26751,10.25011471,3.151
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,298.06102,10.24301879,3.16
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,297.85571,10.23596317,3.169
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,297.65156,10.22894752,3.178
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,297.44857,10.22197149,3.187
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,297.24672,10.21503474,3.196
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,297.046,10.20813696,3.205
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,296.8464,10.20127781,3.214
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,296.64792,10.19445696,3.223
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,296.45055,10.18767411,3.232
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,296.25427,10.18092892,3.241
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,296.05908,10.17422109,3.25
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,295.86497,10.16755031,3.259
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,295.67193,10.16091627,3.268
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,295.47994,10.15431868,3.277
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,295.28901,10.14775722,3.286
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,295.09912,10.1412316,3.295
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,294.91027,10.13474154,3.304
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,294.72244,10.12828674,3.313
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,294.53563,10.12186691,3.322
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,294.34983,10.11548178,3.331
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,294.16503,10.10913105,3.34
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.98122,10.10281446,3.349
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.7984,10.09653173,3.358
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.61656,10.09028259,3.367
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.43569,10.08406676,3.376
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.25577,10.07788399,3.385
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,293.07682,10.07173401,3.394
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.8988,10.06561656,3.403
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.72173,10.05953138,3.412
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.54559,10.05347822,3.421
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.37037,10.04745682,3.43
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.19608,10.04146694,3.439
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,292.02269,10.03550833,3.448
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.8502,10.02958075,3.457
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.67861,10.02368395,3.466
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.50791,10.01781769,3.475
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.33809,10.01198174,3.484
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.16914,10.00617587,3.493
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,291.00107,10.00039984,3.502
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.83385,9.994653417,3.511
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.66749,9.988936382,3.52
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.50198,9.983248508,3.529
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.33731,9.977589571,3.538
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.17348,9.971959351,3.547
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,290.01047,9.966357631,3.556
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.84829,9.960784194,3.565
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.68693,9.955238828,3.574
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.52638,9.949721319,3.583
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.36663,9.94423146,3.592
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.20768,9.938769042,3.601
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,289.04952,9.933333861,3.61
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.89215,9.927925713,3.619
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.73556,9.922544397,3.628
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.57974,9.917189714,3.637
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.42469,9.911861467,3.646
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.27041,9.90655946,3.655
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,288.11689,9.9012835,3.664
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.96411,9.896033395,3.673
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.81209,9.890808956,3.682
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.6608,9.885609996,3.691
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.51026,9.880436328,3.7
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.36044,9.875287767,3.709
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.21135,9.870164133,3.718
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,287.06297,9.865065244,3.727
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.91532,9.859990921,3.736
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.76837,9.854940988,3.745
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.62212,9.849915268,3.754
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.47658,9.844913588,3.763
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.33173,9.839935777,3.772
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.18757,9.834981663,3.781
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,286.0441,9.830051078,3.79
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,285.9013,9.825143854,3.799
1,m290,12709,29.09894317,1,3,4.33345,988697.6687,285.75918,9.820259827,3.808
